"rn","ec","eq","way","ko","symbol","name","map","md"
"R10616","4.1.2.51, 4.1.2.55","2-Dehydro-3-deoxy-D-galactonate <=> Pyruvate + D-Glyceraldehyde","Bidirectional","K18127","kdgA","2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51]","map00052","M00309"
"R01064","4.1.2.21, 4.1.2.55","2-Dehydro-3-deoxy-6-phospho-D-galactonate <=> Pyruvate + D-Glyceraldehyde 3-phosphate","Bidirectional","K11395","kdpgA","2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]","map00052","M00309, M00633"
"R03033","4.2.1.6, 4.2.1.140","D-Galactonate <=> 2-Dehydro-3-deoxy-D-galactonate + H2O","Bidirectional","K05308","gnaD","gluconate/galactonate dehydratase [EC:4.2.1.140]","map00052","M00309, M00633"
"R10616","4.1.2.51, 4.1.2.55","2-Dehydro-3-deoxy-D-galactonate <=> Pyruvate + D-Glyceraldehyde","Bidirectional","K11395","kdpgA","2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]","map00052","M00309, M00633"
"R01064","4.1.2.21, 4.1.2.55","2-Dehydro-3-deoxy-6-phospho-D-galactonate <=> Pyruvate + D-Glyceraldehyde 3-phosphate","Bidirectional","K01631","dgoA","2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]","map00052","M00552"
"R03033","4.2.1.6, 4.2.1.140","D-Galactonate <=> 2-Dehydro-3-deoxy-D-galactonate + H2O","Bidirectional","K01684","dgoD","galactonate dehydratase [EC:4.2.1.6]","map00052","M00552"
"R03387","2.7.1.58, 2.7.1.178","ATP + 2-Dehydro-3-deoxy-D-galactonate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-galactonate","Bidirectional","K00883","dgoK","2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]","map00052","M00552"
"R00955","2.7.7.12","UDP-glucose + alpha-D-Galactose 1-phosphate <=> D-Glucose 1-phosphate + UDP-alpha-D-galactose","Bidirectional","K00965","galT","UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]","map00052","M00554, M00632"
"R01092","2.7.1.6","ATP + alpha-D-Galactose <=> ADP + alpha-D-Galactose 1-phosphate","Bidirectional","K00849","galK","galactokinase [EC:2.7.1.6]","map00052","M00554, M00632"
"R10619","5.1.3.3","D-Galactose <=> alpha-D-Galactose","Bidirectional","K01785","galM","aldose 1-epimerase [EC:5.1.3.3]","map00052","M00632"
"R00291","5.1.3.2","UDP-glucose <=> UDP-alpha-D-galactose","Bidirectional","K01784","galE","UDP-glucose 4-epimerase [EC:5.1.3.2]","map00052","M00632, M01004"
"R03387","2.7.1.58, 2.7.1.178","ATP + 2-Dehydro-3-deoxy-D-galactonate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-galactonate","Bidirectional","K18126","sskdgK","2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178]","map00052","M00633"
"R00505","5.4.99.9","UDP-alpha-D-galactose <=> UDP-alpha-D-galactofuranose","Bidirectional","K01854","glf","UDP-galactopyranose mutase [EC:5.4.99.9]","map00052","M01004"
"R00505","5.4.99.9","UDP-alpha-D-galactose <=> UDP-alpha-D-galactofuranose","Bidirectional","K28214","UGM","UDP-galactopyranose mutase [EC:5.4.99.9]","map00052","M01004"
"R00289","2.7.7.9, 2.7.7.64","UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose","Bidirectional","K00963","UGP2","UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]","map00052","NA"
"R00289","2.7.7.9, 2.7.7.64","UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose","Bidirectional","K12447","USP","UDP-sugar pyrophosphorylase [EC:2.7.7.64]","map00052","NA"
"R00289","2.7.7.9, 2.7.7.64","UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose","Bidirectional","K22920","UGP3","UTP---glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]","map00052","NA"
"R00291","5.1.3.2","UDP-glucose <=> UDP-alpha-D-galactose","Bidirectional","K17716","capD","UDP-glucose 4-epimerase [EC:5.1.3.2]","map00052","NA"
"R00502","2.7.7.10, 2.7.7.64","UTP + alpha-D-Galactose 1-phosphate <=> Diphosphate + UDP-alpha-D-galactose","Bidirectional","K12447","USP","UDP-sugar pyrophosphorylase [EC:2.7.7.64]","map00052","NA"
"R00503","2.4.1.22","UDP-alpha-D-galactose + D-Glucose <=> UDP + Lactose","Bidirectional","K00704","LALBA","alpha-lactalbumin [EC:2.4.1.22]","map00052","NA"
"R00503","2.4.1.22","UDP-alpha-D-galactose + D-Glucose <=> UDP + Lactose","Bidirectional","K07966","B4GALT1","beta-1,4-galactosyltransferase 1 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]","map00052","NA"
"R00503","2.4.1.22","UDP-alpha-D-galactose + D-Glucose <=> UDP + Lactose","Bidirectional","K07967","B4GALT2","beta-1,4-galactosyltransferase 2 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]","map00052","NA"
"R00801","3.2.1.10, 3.2.1.20, 3.2.1.26, 3.2.1.48","Sucrose + H2O <=> D-Fructose + D-Glucose","Bidirectional","K01182","IMA","oligo-1,6-glucosidase [EC:3.2.1.10]","map00052","NA"
"R00801","3.2.1.10, 3.2.1.20, 3.2.1.26, 3.2.1.48","Sucrose + H2O <=> D-Fructose + D-Glucose","Bidirectional","K01187","malZ","alpha-glucosidase [EC:3.2.1.20]","map00052","NA"
"R00801","3.2.1.10, 3.2.1.20, 3.2.1.26, 3.2.1.48","Sucrose + H2O <=> D-Fructose + D-Glucose","Bidirectional","K01193","INV","beta-fructofuranosidase [EC:3.2.1.26]","map00052","NA"
"R00801","3.2.1.10, 3.2.1.20, 3.2.1.26, 3.2.1.48","Sucrose + H2O <=> D-Fructose + D-Glucose","Bidirectional","K01203","SI","sucrase-isomaltase [EC:3.2.1.48 3.2.1.10]","map00052","NA"
"R00801","3.2.1.10, 3.2.1.20, 3.2.1.26, 3.2.1.48","Sucrose + H2O <=> D-Fructose + D-Glucose","Bidirectional","K12047","MGAM","maltase-glucoamylase [EC:3.2.1.20 3.2.1.3]","map00052","NA"
"R00801","3.2.1.10, 3.2.1.20, 3.2.1.26, 3.2.1.48","Sucrose + H2O <=> D-Fructose + D-Glucose","Bidirectional","K12316","GAA","lysosomal alpha-glucosidase [EC:3.2.1.20]","map00052","NA"
"R00801","3.2.1.10, 3.2.1.20, 3.2.1.26, 3.2.1.48","Sucrose + H2O <=> D-Fructose + D-Glucose","Bidirectional","K12317","GANC","neutral alpha-glucosidase C [EC:3.2.1.20]","map00052","NA"
"R00959","5.4.2.2, 5.4.2.5","D-Glucose 1-phosphate <=> alpha-D-Glucose 6-phosphate","Bidirectional","K01835","pgm","phosphoglucomutase [EC:5.4.2.2]","map00052","NA"
"R00959","5.4.2.2, 5.4.2.5","D-Glucose 1-phosphate <=> alpha-D-Glucose 6-phosphate","Bidirectional","K15778","pmm-pgm","phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]","map00052","NA"
"R00959","5.4.2.2, 5.4.2.5","D-Glucose 1-phosphate <=> alpha-D-Glucose 6-phosphate","Bidirectional","K15779","PGM2","phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]","map00052","NA"
"R01069","4.1.2.40","D-Tagatose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","K01635","lacD","tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]","map00052","NA"
"R01069","4.1.2.40","D-Tagatose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","K08302","gatY-kbaY","tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]","map00052","NA"
"R01069","4.1.2.40","D-Tagatose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate","Bidirectional","K16371","gatZ-kbaZ","D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ","map00052","NA"
"R01093","1.1.1.21","D-Galactose + NADH + H+ <=> Galactitol + NAD+","Bidirectional","K00011","AKR1B","aldehyde reductase [EC:1.1.1.21]","map00052","NA"
"R01094","1.1.1.48","D-Galactose + NAD+ <=> D-Galactono-1,4-lactone + NADH + H+","Bidirectional","K00035","gal","D-galactose 1-dehydrogenase [EC:1.1.1.48]","map00052","NA"
"R01094","1.1.1.48","D-Galactose + NAD+ <=> D-Galactono-1,4-lactone + NADH + H+","Bidirectional","K22215","galD","galactose dehydrogenase [EC:1.1.1.48 1.1.1.120]","map00052","NA"
"R01095","1.1.1.21","D-Galactose + NADPH + H+ <=> Galactitol + NADP+","Bidirectional","K00011","AKR1B","aldehyde reductase [EC:1.1.1.21]","map00052","NA"
"R01096","1.1.1.48, 1.1.1.120, 1.1.1.359, 1.1.1.360","D-Galactose + NADP+ <=> D-Galactono-1,5-lactone + NADPH + H+","Bidirectional","K18124","gdh2","glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360]","map00052","NA"
